institution,title,project_url,functioning_website,website_not_found,not_redirected_website,partially_unaccessible_website,new_website_url,url_showcase,url_showcase_working,url_landing_page,url_landing_working,provenance,knot_uri,notes,url_first_seen,url_last_seen
,Elisa Chimenti,,FALSE,TRUE,FALSE,FALSE,,,FALSE,https://www.elisachimenti.org/accueildef.html,FALSE,AIUCD,,https protocol outdated,,
,EdMuse,https://edmuse.eu/edmuse-platform/,FALSE,FALSE,FALSE,FALSE,,http://edmuse.eu/it/index.html,FALSE,,FALSE,Italian DH Institutions,,,2017-12-15 04:18:47,2024-06-15 00:14:27
Università Ca' Foscari Venezia,EDF,http://edf.unive.it/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-09-09 13:09:34,2024-06-17 09:14:48
"Università degli studi di Roma ""La Sapienza""; Università degli Studi di Roma ""Tor Vergata""; Università degli Studi Roma Tre; Università degli Studi di Cassino e del Lazio Meridionale; Università degli Studi della Tuscia; CNR; ENEA; INFN",Ecodigit,https://ecodigit.dtclazio.it/,FALSE,FALSE,FALSE,FALSE,,https://dtclazio.it/progetto-ecodigit,TRUE,,FALSE,AIUCD,,,2020-11-28 18:52:12,2023-03-20 16:56:11
"Istituto di Linguistica Computazionale ""A. Zampolli"" (ILC-CNR)",CWALM,,FALSE,TRUE,FALSE,FALSE,,https://cwalm.ilc.cnr.it/,TRUE,,FALSE,Italian DH Institutions,,,,
"Istituto di Linguistica Computazionale ""A. Zampolli"" (ILC-CNR)",Creta Inscriptions,https://ilc4clarin.ilc.cnr.it/cretaninscriptions,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-05-20 15:47:12,2023-05-20 14:16:35
Università di Bologna,Corago LOD,http://corago.unibo.it/lod,FALSE,FALSE,TRUE,FALSE,http://coragolod1.ing.unibo.it:8080/corago/,,,,,KNOT,http://purl.org/knot/data/corago-lod-project,,2022-06-07 08:53:46,2022-12-08 05:13:43
Università degli studi di Padova,CLEF Ad-hoc: A Perspective on the Evolution of the Cross-Language Evaluation Forum,http://ims.dei.unipd.it/gridclef/,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2008-11-09 07:48:28,2015-06-29 16:09:11
,Clavius Correspondence,http://claviusontheweb.it/lod,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2022-01-19 23:34:09,2022-01-20 18:11:23
ISTC-CNR,BelliniInRete,,FALSE,TRUE,FALSE,FALSE,,http://bellininrete.istc.cnr.it/,TRUE,,FALSE,AIUCD,,unreachable website,,
CNR; Università di Bologna,Atlas,https://dh-atlas.github.io/deliverables.html,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
Università di Siena; ILC-CNR,Archivio ViVo,,FALSE,TRUE,FALSE,FALSE,,https://www.clarin-it.it/it/content/archivio-vivo,TRUE,,FALSE,Italian DH Institutions,,page not found,,
"Università degli studi di Roma ""La Sapienza""",Archivio storico fotografico Adolfo Venturi,https://digilab.uniroma1.it/risorse/archivio-storico-fotografico,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-06-25 04:21:47,2024-06-16 02:06:21
,Archilochus,,FALSE,TRUE,FALSE,FALSE,,https://www.clarin.eu/content/archilochus-paros-elegiac-fragments-xml-archive,TRUE,,FALSE,Italian DH Institutions,,,,
,Archaide,http://www.archaide.eu/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archaide-project,credentials needed,2017-01-16 07:46:50,2024-01-27 00:49:54
,Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library,https://imagelab.ing.unimore.it/annoteProject,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,,
Università degli studi di Padova,An IT Support for an Exhibition of Illuminated Manuscripts,https://ipsa.dei.unipd.it/,FALSE,TRUE,TRUE,FALSE,https://ipsa.beniculturali.unipd.it/ipsa-web/?null=null&language=it,,FALSE,,FALSE,IRCDL,,,2013-01-17 08:22:14,2021-03-02 15:44:47
,AMiGre,,FALSE,TRUE,FALSE,FALSE,,http://amigre.upatras.gr/,TRUE,,FALSE,AIUCD,,,,
Università di Udine,A Research Tool for the ERC-Funded EMoBookTrade project,http://emobooktrade.uniud.it/,FALSE,FALSE,TRUE,FALSE,https://emobooktrade.unimi.it/,,FALSE,,FALSE,IRCDL,,,2017-08-06 02:49:11,2020-05-20 07:50:03
Università di Bologna,zeri e lode,http://data.fondazionezeri.unibo.it/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,2016-06-20 13:45:22,2025-01-04 04:17:26
I Tatti - The Harvard University. Center For Italian Renaissance Studies,Yashiro,https://yashiro.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,page not found,2015-07-15 00:33:04,2024-12-27 23:18:13
Università degli studi Modena e Reggio Emilia,XDOCS: an Application to Index Historical Documents,https://aimagelab.ing.unimore.it/imagelab/project.asp?idprogetto=59,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,IRCDL,,,2020-08-09 05:50:23,2024-04-21 20:54:27
Università Cattolica del Sacro Cuore of Milano,Word formation latin,https://progetti.unicatt.it/progetti-Milano-wfl-home,TRUE,FALSE,FALSE,FALSE,,http://wfl.marginalia.it,TRUE,,FALSE,Italian DH Institutions,,,2016-06-15 21:24:21,2023-06-03 01:33:43
Bibliotheca Hertziana,WissensGeschichte,https://wissensgeschichte.biblhertz.it/Glossario,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2005-03-05 23:26:21,2024-11-30 20:15:46
Università di Bologna,WaCky - The Web-As-Corpus Kool Yinitiative,https://wacky.sslmit.unibo.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/wacky-project,,2005-03-05 22:32:52,2024-12-22 14:24:20
Kunsthistoriches Institut in Florenz,virtual repository of photographers' sales catalogues,https://virtualphotothek.khi.fi.it/catalogues/publisher,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
,Venezia Squeeze Project,https://www.e-stampages.eu/s/e-stampages/page/accueil,FALSE,FALSE,TRUE,FALSE,https://pric.unive.it/progetti/Venezia-squeeze-project/home,,FALSE,,FALSE,Italian DH Institutions,,,2019-02-20 07:22:29,2024-11-08 18:23:00
Università di Bologna,"VASTO - VArchi, STOria FIORENTINA",https://dharc-org.github.io/progetto-vasto/index.html,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/vasto-project,,2022-08-14 15:12:28,2024-07-11 17:55:44
Università di Bologna,vasto,https://dharc-org.github.io/progetto-vasto/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-09-10 09:59:42,2024-07-11 17:55:44
Università degli studi di Padova; Università degli studi di Milano; Università di Siena,Varianti all’opera,https://www.variantiallopera.it/public/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/varianti-opera-project,,2016-07-29 09:04:03,2024-12-28 12:53:48
Bibliotheca Hertziana,Urbs,https://dlib.biblhertz.it/urbs,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-07-30 11:16:29,2024-12-11 02:59:39
Università di Bologna,Upgrading History. Diaries from the War Front,https://projects.dharc.unibo.it/uhdw/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-06-28 11:12:06,2024-11-18 02:08:15
,Unione Donne in Italia: digital library,https://archiviodigitale.udinazionale.org/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2018-06-02 23:33:13,2024-11-22 19:21:15
,Tree of philosophers,https://treeofphilosophers.it/labels,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2024-12-13 04:56:27,2024-12-13 04:56:27
Università di Pisa,The Vercelli Book,http://vbd.humnet.unipi.it/beta2/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2016-03-26 12:43:08,2024-12-13 03:23:06
Fondazione Enzo Franceschini,The TRAME Project - Text and Manuscript Transmission of the Middle Ages in Europe,http://git-trame.fefonlus.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2014-11-22 09:41:28,2024-09-11 03:18:51
"The Edith O’Donnell Institute of Art History, The University of Texas at Dallas;
Centro per la Storia dell’Arte e dell’Architettura delle Città Portuali;
Museo e Real Bosco di Capodimonte;
Università degli Studi di Napoli Federico II;
Duke Trinity College of Arts & Sciences;
Digital Art History & Visual Culture Research Lab;
National Endowment for the Humanities;
International Center of Medieval Art (ICMA).",The medieval kingdom of Sicily: image database,https://koseodiah.org/mapofkingdom.php,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-08-09 06:52:16,2024-08-09 06:52:16
"The Edith O’Donnell Institute of Art History, The University of Texas at Dallas;
Centro per la Storia dell’Arte e dell’Architettura delle Città Portuali;
Museo e Real Bosco di Capodimonte;
Università degli Studi di Napoli Federico II;
Duke Trinity College of Arts & Sciences;
Digital Art History & Visual Culture Research Lab;
National Endowment for the Humanities;
International Center of Medieval Art (ICMA).",The Medieval Kingdom of Sicily Image Database,https://koseodiah.org/index.php,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-11-04 02:17:11,2025-01-01 21:59:28
Andrew W. Mellon Foundation,The Medici Archive Project,http://bia.medici.org/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,,2012-12-31 16:41:31,2024-12-19 11:06:40
Andrew W. Mellon Foundation,The Falconieri Project,https://falconieri.medici.org/Mia/LoginUser.do,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,registration required,2020-10-25 22:19:50,2024-09-11 23:45:11
Istituto Pio Paschini per la Storia della Chiesa in Friuli,The Biographical Dictionary of Friulans -“Nuovo Liruti” On-Line,https://www.dizionariobiograficodeifriulani.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2017-04-06 20:16:28,2025-01-05 03:34:00
Istituto Nazionale di Astrofisica,The AstroBID: Preserving and Sharing the Italian Astronomical Heritage.,www.beniculturali.inaf.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2015-09-26 14:37:51,2025-01-05 03:55:20
,The Archivio dei Possessori of the Biblioteca Nazionale Marciana. A Provenance Database,https://archiviopossessori.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2021-07-14 13:31:41,2025-01-04 20:38:18
,The “Verbo-Visual Virtual” Platform,https://www.verbovisualevirtuale.org/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,,2016-04-24 11:51:24,2024-11-27 12:05:22
,Stragi Nazifasciste,https://www.straginazifasciste.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2016-04-10 06:52:57,2025-01-03 17:07:18
,Storia dei Carabinieri,https://www.spreaker.com/show/storia-dei-carabinieri,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,unaccessible website,2020-11-01 01:10:00,2023-10-05 08:35:21
Bibliotheca Hertziana,Staccioli,https://staccioli.biblhertz.it/resource/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-04-14 01:51:27,2024-12-15 03:34:53
Bibliotheca Hertziana,Spatial,https://dlib.biblhertz.it/spatial/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
