codice,progetto,istituzione
2022BMzkNH,The European green energy industry: equity financing instruments and policiesin the climate action agenda,Università degli studi di BOLOGNA
2022BNPZY3,Evolutionary Poisson Games: Theory and Applications,Università degli studi di MILANO
2022BR2N2M,WORkeRs In Emergency Departments (WORRIED).Comparing effects of multi-level interventions for supporting quality of working life and services in emergency departments,Università Cattolica delSacro Cuore
2022BSL9RB,Measuring Scientific Output via Preferences Elicitation,Università Cattolica delSacro Cuore
2022BTNAC9,"Differentials in WELL-being: the role of family dynamics, cohort trends and LIFE",Università Ca' FoscariVENEZIA
2022BWNJBA,Sustainable Food Labels for Product Communication,Università degli studi di PARMA
2022C43LYC,"A European study on ESG-literacy, financial advisory and investors perception ofsustainability",Università Cattolica delSacro Cuore
2022C799SX,PRICE: A New Paradigm for High-Frequency Finance,Università degli studi di ROMA Tor Vergata
2022CA3zZC,Debunking Ancestral Narratives: ethnic identity and cooperation in Italy (DANIT),Università degli studi di BOLOGNA
2022CTBNRN,Fostering sustainability mindset: How non-financial disclosure and corporate risk assessment may drive ESG value creation,Università Ca' FoscariVENEZIA
2022CZKPMY,Health and Wellbeing of the Elderly,Università degli studiINSUBRIA Varese-Como
2022E8B2BK,Complexity and non-optimal decision making. An experimental investigation,Università degli studi di TERAMO
2022E9c3zE,Corruption risk in municipal governments: the managerial perspective,Università degli studi di ROMA Tor Vergata
2022ELYHCW,Insurance and Finance for Sustainable and Inclusive Growth (IFsIG),Università degli studi di Napoli Federico II
2022EPTMLJ,"Banks, Infrastructures and Global Value Chains",Università degli studi di ROMA La Sapienza
2022ESBL34,Pandemic Risks across Markets and Crisis Stages,Università Commerciale Luigi Bocconi MILANO
2022ETEHRM,Stochastic models and techniques for the management of wind farms and powersystems,Università degli Studi G.d'Annunzio CHIETI-PESCARA
2022F5CLN2,Trust Machines for TrustlessNess (TruMaN): The Impact of Distributed Trust on theConfiguration of Blockchain Ecosystems,Università degli studi di MODENA e REGGIO EMILIA
2022F8WNBA,LO-VEg: Nudging-based field-experiments to promote vegetable and legume consumption among children and parents,Università degli studi di MILANO
2022FARZPJ,Agri-food value chains efficiency and fairness - AGREF,Università degli studi della TUSCIA
2022FB4LKK,"The Psychology of Attention, Economic Behaviour and Policy Interventions",Università Commerciale Luigi Bocconi MILANO
2022FLBY7J,"AUTOmation, PROductivity and Wage INequality (AUTOPROWiN): Firms andWorkers in Times of Economic Turmoil",Università degli Studi G.d'Annunzio CHIETI-PESCARA
2022FMY5TR,Boosting Ecological Transition in the Agricultural Sector (BETAs),Università degli studi di Napoli Federico II
2022FPLY97,Modeling and valuation of financial instruments for climate and energy riskmitigation,Università degli studi di BOLOGNA
2022FWZ2CR,Building resilience to emerging risks in financial and insurance markets,Università della  CALABRIA
2022FZJ4L7,Small and Smart Vilages Governance: development and validation of a model fromone of the “Borghi più Bell ditalia.,Università degli studi di ROMA Tor Vergata
2022H2sTF2,Climate Risk Uncertainty,Università degli studi di BOLOGNA
2022H439FA,"Listen to me, I will respond: A randomized communication trial on healthdecisions",Università degli studi di FIRENZE
2022H82PL5,(Un)healthy food and choice behaviour (ChoiceHealthFood),Università degli studi di VERONA
2022HFYPCJ,The impact of diversity and inclusion on management control and corporatedisclosure: the role of finance.,Università Cattolica delSacro Cuore
2022HKLEC5,"Platform Monetization: Strategies, Challenges and Implications",Università Commerciale Luigi Bocconi MILANO
2022HLKRTJ,"Wealth, income and consumption inequality after COVID-19",Università degli studi di Napoli Federico II
2022HLNBEX,Tackling Inequalities in Educational Outcomes: Experimental Evidence from ItalianPrimary Schools,Università degli studi di BOLOGNA
2022HLPMKN,EXTERNALITIES AND FAIRNESS IN ALLOCATIONS AND CONTRACTS,Università degli studi di Napoli Federico II
2022HLsETF,"STEP BY STEP: Educational stages, choices, achievement and long-run outcomes",Università degli studi di PADOVA
2022HTZY2N,Digital Innovation in Price Statistics: Open and Fast Insights from Online ScrapedData,Università degli Studi della TUSCIA
2022HYTLHR,"Information Diffusion, Networks and Polarization (INFONET)",Università degli studi di VERONA
2022HYXBFK,"DEalcoholised and low-alcohol WINEs: market perspectives, social andenvironmental impacts - DEWINE",Università degli studi di PADOVA
2022J8PN5W,The Political Economy of Reforms and the Costs of Populism (PERCOP),Università degli Studi di ROMA Tor Vergata
2022JHZL37,"Data Driven Innovation. Measuring its Effects on Industries, Firms, and BusinessModels",Università degli studi di PAVIA
2022JRY7EF,"Qnt4Green - Quantitative Approaches for Green Bond Market: Risk Assessment,Agency Problems and Policy Incentives.",Università Cattolica delSacro Cuore
2022JWFPR3,Intangible assets and asymmetries in European value chains: the position ofItalian firms and sectors,Università degli studi di CAMERINO
2022JYY7SA,Monopsony Power and Inequality,Università Commerciale Luigi Bocconi MILANO
2022K5PsNP,Climbing the Waste Hierarchy: enabling factors and policies (CLIWEP),Università degli studi di UDINE
2022K5YRAP,"Restrictive Gender Norms, Women Empowerment and Development",Università Cattolica delSacro Cuore
2022KCEYML,SustainablE LEgaCy DebT (SELECT),Università degli studi di PADOVA
2022KL4J4J,Sustainable Families: impacts of introduction of ecolabels on householdpreferences and purchasing choices,Università degli Studi di Napoli Federico II
2022KRJR2Z,Vocational Education and Training (VET) in the post-Covid world. Impacts of thedual system and tertiary vocational education on individuals and firms.,Università degli studi di MILANO-BICOCCA
2022KRKBN8,Corporate Policies in Crisis Times: vidence from the COVID-19 Pandemic,Università Cattolica delSacro Cuore
2022LHCKAL,Customer delight: toward a new conceptualisation of the construct in technological environments powered by Artificial Intelligence,Università degli studi di MODENA e REGGIO EMILIA
2022LHHLWM,COMMUNICATING COMPANIES SUPPLY CHAIN SUSTAINABILITY PRACTICES IN ADIGITAL ENVIRONMENT,Università degli studi di FIRENZE
2022LPLNWZ,News Prosumers,Università Cattolica delSacro Cuore
2022LRTNZY,A FinTech Regulatory Information Retrieval Model for an Islamic FinanceCompliant Rule System Built from Spontaneous Arabic Texts,Università degli studi ROMATRE
2022LT8P4J,"Networks: decomposition, clustering and community detection",Università degli studi di TRENTO
2022LX8B3E,Multinationals and the green transition of host countries,Università Cattolica delSacro Cuore
2022MNK5JZ,Compensation Rules Among Members of Heterogeneous Energy Communities,Università degli studi di BRESCIA
2022MRSYB7,Realized Random Graphs: A New Econometric Methodology for the Inference ofDynamic Networks,Università degli studi di VERONA
2022McWT4Y,The Language of Innovation,Università degli studi di BOLOGNA
2022N3cEYY,Industry 4.0 and Sustainability: opportunities and challenges for Italian firms,Università degli studi di PALERMO
2022NA2c8Z,Prediction and causal inference on the tail index for policy decisions,Università degli Studi di TRENTO
