codice,progetto,istituzione,finanziamento
2022SMY898,Sovereign and Corporate Debt in the aftermath of a major crisis: Economic andPolitical lmplications,Università degli studi di MILANO-BICOCCA,274219
2022STRZYZ,Towards Circular Economy: A Business Model Innovation Perspective,Università degli Studi di  MODENA e REGGIO EMILIA,225135
2022SWSKKE5,"Organized crime, political connections and firms performance",Università degli studi di CATANIA,262.12776502732237
2022Z879W3,A environmentally extended Rural-Urban model to study the Ecosystems-Economy-Society nexus (RUEESnexus),Università degli studi della BASILICATA,291158
2022Z9A424,Strengthening TARgeting and Guidance with Actionable and Timely Evidence (STARGATE) for the implementation of the Italian National Recovery and Resilience Plan,Università degli Studi ROMATRE,242784
2022ZPMXHA,Transforming healthcare in the post covid era: sustainability and value oftelemedicine - RELIEVE and SAVE,Università degli studi di PARMA,306163
20222BS5PN,Tit: Courts in troubled times. Adapting judicial decision-making to the systemstrains,Università degli studi di VERONA,159056
20222ERHBA,The visual politics of populism,Università degli studi di TRIESTE,217.94
20222TSACT,PUBLIC ADMINISTRATION IN THE SIGN OF FINANCE: HOW THE PUBLIC FINANCIAL RULES SHAPE THE NATIONAL AND EU ADMINISTRATIVE SYSTEMS FinPA project,Università degli studi di CATANIA,297961
202234YLYH,The President in the control room. Mapping presidential actorness inparliamentary democracies during times of crisis,Università degli Studi di SASSARI,265.28
202235FZEH,"Punishing, Reforming and Re-inserting: Prison Institutions between CriminalScience, Penitentiary Law, Prison Administration, Work, Health Treatment and Architecture: Three Case Studies in the <lsland of Punishmenty in the Kingdom of Italy (the Penal Bath of San Bartolomeo, the Penal Colony of Castiadas and the Buoncammino Prison)",Università degli studi di CAGLIARI,247556
20223FL4XJ,Financing public budget from illegal economy: coherence and efficiency of interaction between taxation and criminal confiscation in for-profit and no-profit sectors,Università degli studi di BOLOGNA,155682
20223KNYEX,TOWARDS STRICTER RULES ON TRANSPARENCY AND LIABILITY FOR ONLINE PLATFORMS IN THE EUROPEAN DIGITAL SINGLE MARKET,Università degli studi di BARI ALDO MORO,310998
20223RJNHY,Cyber Interference: Social Cohesion and Consensus Manipulation Between International Law and Private Autonomy,Università degli studi di Napoli Federico II,219506
20223Z3C9W,End of Life in the Roman World. Last Wills and Persons Projections after Death,Università degli studi di Napoli Federico II,235.72
202247TFMW,Enhancing the autonomy of vulnerable adults in legal matters,Università di  PISA,294.85900000000004
20224JBFKT,Safe Artificial Intelligence Systems for Public Administrations (SafeAI4PA),Università degli studi di FIRENZE,225.0
20224LLB2N,Artificial Intelligence between generating and tackling gender-baseddiscriminations (AiGeDi).,Università degli Studi di MILANO,265.73
20224TPEYC,PRIMA (PRivacy Infringements Machine-Advice),Università degli studi di BOLOGNA,224957
20224ZH79X,The Virtues of the Rule of Law as an Institutional Ethos,Università degli Studi di PALERMO,375339
202258RNM9,Digital vulnerability. An intergenerational path between personal rights andmarket relations,Università Ca' FoscariVENEZIA,253477
20225BT9KY,ESODI - Engaging with Settlement Obstacles: legal Diversity and socio-economic Inclusion of migrant families,Università degli studi di TORINO,291517
20225HNW83,Governance for a Reticular Mountain: Co-design and contratto dabitare as tools for the territorial regeneration in Seriana Valley,Università degli studi di BERGAMO,266278
