codice,progetto,istituzione,finanziamento
2022ZMYYTH,Artificial intelligence & feedback for effective learning (Al&F),Università degli Studi di MACERATA,263.72
2022C7N58K,Promoting Social Inclusion and Psychological Well-being through ProsocialFunctioning: From an Ecological-Causal Perspective to Intervention Design,Università degli studi di ROMA La Sapienza,232748
2022CKWY77,Mathematics standardized assessment as a tool for teachers professionaldevelopment,Università degli studi di FERRARA,221626
2022CTPP38,"We Are Multiple-A Web-Based Patient Engagement Platfrm for PromotingPsychological Well-Being, Social Inclusion and Healthy Lifestyle Behaviours in Multiple Sclerosis",Università degli studi di PAVIA,261233
2022S2Y4PC,Just transition in the factory. Workers mobilizations and participatory innovation in emergent Italian experiences,Scuola Normale Superioredi PISA,232227
2022S3FSZE,SIsEA / Symbolic Inequality at Work: gendered exclusion and imaginaries ofempowerment in Southeast Asia,Università degli studi di MILANO-BICOCCA,201.06
2022S5R95P,Fostering compassion abilities: potential benefits on body image and healthrelated outcomes,Università degli studi di FIRENZE,267595
2022SWM2E5,Promoting Healthy And Sustainable Eating (PHASE). A deep investigation toreduce and replace meat consumption.,Università degli studi di PADOVA,218362
2022XYHRRL,Evaluating School Inclusion: a shared quality index for developing a more inclusiveeducation for all.,Università degli StudiMagna Graecia di CATANZARO,230153
2022Z85NCT,Violence against women: modelling misreported information in social data,Università del SALENTO,366849
2022ZFMXME,Local museums and ecomuseums. Heritage spaces of active participation,Università degli studi di ROMA La Sapienza,202.5
202222EJZE,LAterality DIstribution across the two SEXes (LADIsEX): Comparative data fortheoretical models,Università degli studi di TRENTO,229759
202223PL4N,T-GRA2L: Testing GRAdeness and GRAmmaticality in Linguistics,Università degli studi di SIENA,253785
2022289RNA,"The Fragility of Metaphors (FraMe): learning, loosing, and how to train them",Università degli studi di PAVIA,244614
20222AW3JL,Bayesian inference reconsidered in the light of new visual ilusions,Università degli studi di SASSARI,137.7
20222B4ZHF,SOCRATE- Self-criticism On Chair: Realizing an Application for TherapeuticExercises,Università degli studi della Campania Luigi Vanvitell',253497
20222FC7A8,Archive of the Lexicography of the Nineteenth-Twentieth Century (ALON),Università degli studi di FIRENZE,229748
20222HHXAX,Org(SB-EAI) - An Organizational Approach to the Synthetic Modeling of Cognitionbased on Synthetic Biology and Embodied AI,Università del SALENTO,212307
20222ZLPFC,Adaptive Brain Connectivity and Cognition ABC&C,Università degli studi di TRENTO,273953
202233C93X,MetaLing Corpus: Creating a corpus of English linguistics metalanguage from the16th to the 18th century,Università degli Studi di MILANO,106675
20223EHJKW,Virtual Bodies for Real Pain: a Window on the Mind-Brain-Body Interaction inVirtual Spaces (VRelief),Università degli studi di MILANO-BICOCCA,265127
20223FZJR4,Old Words for a New World: Translating Christianity to Baltic Pagans,Università di  PISA,204.96
20223XH5XM,Verbs constructional patterns across languages: a multidimensionalinvestigation,Università degli studi di PAVIA,262295
20223K8B3X,Touch to see: neural and functional effects of crossmodal remappinng,Università degli studi di MILANO-BICOCCA,227006
20223SRYFJ,GAMEFUL. Videogame-based Assessment of Executive Functions through machineLearning,Università degli Studi di GENOVA,240362
202245M2HA,"European Language Centres as a multilingual community of practice: Amultimodal discourse analysis of academic, cultural and social growth conveyed through thelanguage of websites.",Università della  CALABRIA,257233
2022494P5L,EEG and PET studies of the relation between K-complexes and brain metabolic connectivity in isolated Rapid Eye Movement Sleep Behavior Disorder (iRBD),Università degli studi di ROMA La Sapienza,290.87800000000004
202249CYPP,A.L.AR..CO (Archivio Linguistico ARbëresh e ltalo-romanzo in COntatto)Testo italianoA.L.AR.l.Co (Arberesh and Italo-Romance language corpus in contact),Università della  CALABRIA,325376
202249C5XL,COordination and iNtegration of motion in the TACTile and motor system -CONTACT,Università degli studi di ROMA La Sapienza,216.64
20224CEJE8,AGLIO 2.0. The new phase of the Atlante grammaticale dell lingua italiana delleorigini,Università degli studi di NAPOLIL'Orientale,281421
20224FWF2J,FORWARD: neuropsychological and neural circuit mechanisms for projectingmemory into future choice,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE,252084
20224H5ZYF,Linguistic complexity: Structural perspectives to local complexities across WestAfrican languages,Università degli studi di NAPOLI L'Orientale,198976
20224HXFLY,The Philosophical Reception of Quantum Theory in France and German-speaking countries between 1925 and 1945: Conceptual lmplications for the Contemporary Debate.,Università degli Studi ROMATRE,212.5
20224RFY93,Contact-induced language change: perspectives from the minority languages inthe ltalian linguistic space,Università degli Studi di UDINE,303336
20224RHTNL,"Sounding Complex. Morphological structure and lexical information in speechproduction, perception and comprehension (CompLeXSpeech)",Università degli studi di MILANO,157.25
20224X95JC,HERB - Human Explanation of Robotic Behaviour,Università degli studi di MILANO-BICOCCA,286624
20224XSWRH,A novel indirect prevention intervention targeting distress and academic deceitin university students,Università degli studi di PADOVA,212.5
20224SX547,Problematic Sexuality and Psychotic risk. Protective and prodromal factors in therelationship between sexual behaviour and mental health.,Università degli studi di ROMA La Sapienza,233643
20224XEE9P,Parameter theory on historical corpora: Measuring the power of parametersetting theory on historical corpora - PARTHICO,Università degli Studi di PADOVA,243969
202254RHRT,To the Origin of MATHematical aptitude: a comparative approach to highlightcognitive and neural evolution (To Math),Università degli studi di ROMA La Sapienza,220.0
202255SLRT,Neurocognitive mechanisms of distractor fitering,Università degli Studi di TRENTO,273.30999999999995
20225BZY5J,"Childrens interactional competence at school: conversational social norms,participation forms and language structures",Università degli studi di  MODENA e REGGIO EMILIA,222859
20225EJ4C,Development of an intervention model for mothers in fragility conditions duringpostnatal period: Feasibility of an online short mentalization videofeedback program on mother- infant interaction,Università degli studi di ROMA La Sapienza,247.80599382716048
20225ECXPP,"When the body tricks the mind: movement, action and touch as determinants ofmemory illusions",Università degli studi di ROMA La Sapienza,324.13300000000004
20225MH5NM,Disentangling heteRogeneity in autism: from EArly behavioral markers toindividual treatment responses through a Machine learning approach (DREAM).,Università degli Studi di TRIESTE,295202
20225PJ2JM,Interactions between visuo-spatial attention and semantic memory in large-scalecortical networks,Università degli studi di ROMA La Sapienza,248.21
2022748MSA,The impact of rhythmic and predictable patterns on neuro-cognitivedevelopment,Università degli studi di MILANO-BICOCCA,274072
202275ZA5H,(Psycho)Logical Primitives: Social and Cognitive dimensions (PLPS),Università Ca' Foscari'VENEZIA,288274
2022772HTJ,HOW DO ATTENTIONAL TRAINING PROGRAMS IMPROVE READING SKILLS?,Università degli Studi di BERGAMO,252736
20227BY8BA,"Users experience and cognitive improvement in high-technology rehabilitationprograms for post-stroke patients. A multi-method, multi-informant, patient-centred approach",Università degli studi di MILANO-BICOCCA,253441
20227FWEZ5,Biomedical discourse and communication in multicultural societies,Università degli Studi di MILANO,216393
20227MPSEH,"Meta-learning-based decision-making in normality and depression: Combininglarge-scale computational modelling, functional neuroimaging and behavioural methods for asystem-level perspective (MetaDeM)",Università degli studi di ROMA La Sapienza,257926
20227N2Y73,Numbers and the Undisclosed MEchanisms of their Representation ALong Space(NUMERALS),Università degli studi di TRIESTE,247.80599382716048
20227ZYLH9,Motor intentions in plants,Università degli studi di PADOVA,332.35
202284WCP9,"Testing the efficacy of remote, sustainable empowerment protocols in promotingpsycho-physical well-being in the life-span",Università Cattolica delSacro Cuore,219532
20228A5WPZ,"Oral Toponomy in Sicily, Between History and Local Areas. A Digital,Lexicographical and Atlas Model",Università degli studi di PALERMO,318609
20228JCCPN,Discourses and Contexts of Well-being in the History of English,Università degli studi di MILANO,321226
20228NXSAY,"The social perception of new, emerging social identities: The CategoryIntersection in the Context (Cic) model",Università degli studi di TRIESTE,159814
20228P4H2K,"Cognitive, affective, and neural mechanisms of depression vulnerability:searching for endophenotypes and risk factors",Università degli studiEUROPEA di  ROMA,248386
20228XPP9T,A novel behavioral and brain functional approach to social cognition in the blindbrain,Università degli studi di PAVIA,269515
20228Y4ZAM,20228Y4ZAM -A technology-driven linguistic intervention for children with language and literacyweaknesses,Università degli studi di VERONA,237888
20228JMSSN,Learning by social interactions: behavioral and cognitive mechanisms andpotential trans-diagnostic applications,Università degli StudiMagna Graecia di CATANZARO,198.65
20229FS8MZ,Clearer Acts. VocAdv: the lexicon of the defence advocate,Università degli Studi di GENOVA,252499
20229MRLMR,Atlas of the Languages of Ancient Intramedian Italy,Università degli Studi di NAPOLI L'Orientale,211653
20229NZEKP,RELIEVING CHRONIC PAIN: PSYCHOSOMATIC MECHANISMS AND PSYCHOLOGICALINTERVENTIONS IN FIBROMYALGIA AND CHRONIC HEADACHE (FIBROMIG STUDY).,Università degli Studi di ROMA La Sapienza,249129
20229PT9WN,Exploring the relation between tactile perception and body ownership in healthyand pathological brains.,Università degli studi di PAVIA,228425
20229PSYEP,Clinical markers of linguistic and literacy vulnerabilities in adulthood: its never toolate!,Università degli Studi di FOGGIA,249466
20229W73WR,A new digital space for the lessicographical heritage: The Tesoro digitale dellalessicografia bilingue spagnolo-italiano,Università degli studi di PADOVA,277714
20229ZFAJ3,The Effects of Gamma Sensory Stimulation on Cognitive Functions,Università degli Studi G.d'Annunzio CHIETI-PESCARA,218947
20229SHZC4,"Intergroup dehumanization: the social, neural, and physiological roots of mindattribution in infants and adults",Università degli studi di TRENTO,240261
2022A74X79,Corpus SIM (Senectus Ipsa Morbus) - Spontaneous speech in healthy ageing,Università degli studi di Napoli Federico II,255106
2022AKTAK8,The Necessary Conditions for Depressive and Anxiety Symptoms in Adolescence,Università degli studi di TRIESTE,258885
2022AL38E4,Ergogenic words. Characterizing the cognitive and neural mechanisms of theplacebo effect in the motor domain,Università degli studi di VERONA,247015
2022AP2ZT3,SensoriMotor Assessment of digital Capacity and aCcessibility (sMACC),Università degli Studi di FERRARA,253494
2022APAFFN,The attentional curve of forgetting visual information in younger and older adults:experimental and computational insights.,Università degli Studi di ROMA La Sapienza,187.2
2022ARRY9N,"Reasoning with hypotheses: Integrating logical, probabilistic, and experimentalperspectives",Università degli studi di TORINO,263.33
2022B9NZC4,From an individual to a shared sense of agency in humans and non-humanprimates,Università degli studi di MILANO-BICOCCA,247.14
2022BNE97C,"The Language Of Dreams: the relationship between sleep mentation,neurophysiology, and neurological disorders",Scuola IMT Alti Studi -LUCCA,260136
2022BNMZJC,Structure of COgnition-PErsonality aRchiTecture in Ageing (SCOPERTA),Università degli studi di MILANO-BICOCCA,211562
2022CA2FK8,PREferences related to Quality Of LIfe atributes in Multiple Sclerosis: patient andhealth professionals views PREQOLIMs,Università degli studi di TORINO,244273
2022CCPJ3J,RIGHTSTRESS - Tuning arousal for optimal perception,Università di  PISA,233854
2022CEXC5T,LearN: Learning in Noise,Università degli studi di PADOVA,240162
2022CTH74H,IBisCO - Interpersonal Biofeedback Intervention Supporting Caregivers Online,Università degli studi di PADOVA,212614
2022CX5TLZ,DA VINCI. In Da Vincis mind: Fundamental Correlates of Creativity for Artists and Scientists,Università degli studi di TRIESTE,212104
2022E5TBEM,"Language, gender and citizenship in democratic societies. DiLeGIs - Observatoryon legislative discourse and gender in Italy and Spain",Università degli studi di TRIESTE,204984
2022EBC78W,"Sense of number vs. sense of quantity: modeling, neuroimaging, behavior",Università degli Studi di PADOVA,277559
2022EMT25Y,"Returning the body to the mind: on the association between higher-order bodyrepresentations, interoceptive dimensions, and navigational memory abilities across the lifespanand pathological aging (REMAPthebody)",Università degli studiMagna Graeciadi CATANZARO,258395
2022EX4W8E,The articulatory organization of the Italian syllable in healthy and pathologicalspeech,Università del SALENTO,292677
2022EZT393,Where is it? Ask to my hand! Examining the role of proprioceptive cues inperception and action.,Università degli Studi di TRENTO,200.0
2022EC7LZF,Instruments of digital lexicography in support of the OIM (Osservatorio degliItaliansimi nel Mondo),Università degli Studi di FIRENZE,245886
2022F4Z8YH,Analogical Reasoning in Contemporary Physical Theories,Università degli studi di Urbino Carlo Bo,269.19500000000005
2022FFPSBY,"Young new migrants, multilingual spaces and Italian non native language betweenspontaneous and guided learning",Università degli studi di PALERMO,330523
2022FL4W7L,How Emotional Reactivity and Memory Evolve over Sleep: psychophysiologicalDescription via Exogenous manipUlation of Sleep features (HERMEs-DEUs),Università degli Studi di PADOVA,249846
2022FT8HNC,Perceiving and predicting multisensory speech: a window on the interplaybetween sensory and motor processes and brain representations,Università degli studi di PADOVA,248918
2022FZ595K,Cognitive & emotional pathways to hidden STEM: longitudinal and intervention studies fostering higher educational choices,Università degli studi di GENOVA,245197
2022H2J3N3,Brain plasticity in ageing and pathology,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE,285855
2022H4WZKN,Your eyes on me: Neural and oculomotor mechanisms of gaze processing andsocial attention,Università degli studi di PADOVA,153.0
2022H4ZRSN,Predictive waves in human perception and individual differences along theautism-schizophrenia continuum,Università degli studi di BOLOGNA,263842
2022HBK4NP,MinEdu - Supporting minority languages in educational contexts,Università degli studi di PAVIA,229847
2022HEKCWH,Interactions between central and peripheral vision: how the rich and detailedvisual world is created,Università degli studi di PADOVA,236.08
2022HXZR5E,DICI-ADizionario delle Collocazioni ltaliane per ApprendentiA Learner Dictionary of talian Collocations,Università per Stranieri di PERUGIA,493175
2022JB5KAL,UNITE - UNiversally Inclusive Technologies to practice English,Università degli Studi di BOLOGNA,273966
2022JLB83Z,Psychologically-tailored approaches to Debunk Fake News detected automaticallyby an innovative artificial intelligence approach,Università degli studi di PADOVA,269.86400000000003
2022JS4SY2,Interception and Active Aging (InterActing),Università degli Studi G.d'AnnunzioCHIETI-PESCARA,246598
2022JT5N3J,Repetition Experiments as Probes on Linguistics Analysis and Integration (REPLAI),Università degli studi di TRENTO,242959
2022K744JB,CROss-linguistic interference in the assignment of meaning during sentencecomprehension in bilINGual speakers: investigating semantic and syntactic processing and thecase of code-switching (CROssING),Università degli studi di MILANO-BICOCCA,182085
2022K7FR2H,2022K7FR2H -LisDiGio. Language and history of discrimination in the pressin contemporaryItaly,Università per Stranieri di SIENA,234736
2022KPNY3B,LingUistic Complexity Evaluation in educaTion (LucET),Università Ca' FoscariVENEZIA,249699
2022KR9Y29,LOL! The evolutionary roots of human laughter,Università di  PISA,232307
2022KTB2KX,Financial Thinking for Reflective Citizenship. Development and evaluation of theefficacy of a Financial Education program for primary school children,Università degli Studi di FIRENZE,260378
2022KXJYJA,A PROSOCIAL TRAINING PROGRAM TO HARNESS GENES AND ENVIRONMENTINFLUENCING SOCIAL BEHAVIOR,Università degli Studi di BARIALDO MORO,222493
2022L3AALJ,At the roots of the anti-vaccination atitude. A study on the psychophysiological correlates of hesitation and resistance to the COVID-19 vaccine,Università degli Studi di MESSINA,240404
2022LC4FT7,Problematic Social Media use among Italian mid-Adolescents: from theidentification of Risk/proTective factors to the co-design and evaluation of a self-help app.(SMART Project),Università degli studi di PERUGIA,248501
2022LHWSEE,The eco-friendly flexible teaching Model (EFFTMod). A survey of existing experiences for the creation of a good practice network,Università degli studi di CATANIA,192005
2022LJZRBY,"Behavioural, molecular and neuroanatomical characterization of two models ofautism in domestic chicks and zebrafish",Università degli Studi di PADOVA,232765
2022LLLN7B,"MobACT - Development, clinical eficacy and cost-effectiveness of a MobileAcceptance and Commitment Therapy-based treatment for Chronic Primary Pain",Università Cattolica delSacro Cuore,271218
2022LR399B,The relation between mood and the spatial representation of time fromadolescence to adulthood. A new sight on the reciprocal influence of psychopathological and cognitive processes with common treatment perspectives,Università degli studi di PARMA,212784
2022LYRT8E,"Understanding WHat Is Mine (WHIM): theory, models, experiments on the senseof ownership over objects",Università degli studi di BOLOGNA,259507
2022M4T9SB,Promoting Multiingual Competence in Different Contexts,Università del SALENTO,238738
2022MWZYKT,The Body as a Source of Evidence (BosE): Characterizing dysfunctional interoception in Anorexia Nervosa,Università degli Studi di ROMA La Sapienza,255763
2022N3EH4K,"HCAI4Gend - Human-Centered Artificial Inteligence for Gender SensitiveLinguistic Simplification in German, English and Italian Institutional Communication",Università degli studi di MILANO,299541
2022N87CR9,EPITHETS - Explaining Pejoratives In THeoretical and Experimental TermS,Università degli studi di GENOVA,227544
2022NEE53Z,Visual awareness without visual cortex: from monkey neurophysiology to humanpatients,Università degli studi di BOLOGNA,262041
2022NH8W3C,"PersonCareinCogl: Personalized Care in Cognitive Impairment, from diagnosis tointervention.",Università degli Studi di ROMA La Sapienza,229532
2022NPXYHH,CIP - Corpus of Italian language for Preschoolers.Lexicon directed to Italian preschool children from 3 to 6 years collected from heterogeneoussources in Italian and Italian Sign Language,Università degli studi di MODENA e REGGIO EMILIA,271736
2022NTCHYF,The Varieties of Grounding,Università degli studi di PADOVA,322002
2022NWRENN,E-MOTIONS: Investigating Aesthetic Emotions in Virtual and Real Environments,Università Cattolica delSacro Cuore,287.34000000000003
2022P7WP37,PAROLA. Parenting APP for promoting language acquisition,Università degli studi di BOLOGNA,251664
2022PFSJNW,"SACre-D. Schizoprenia, Autism and the Myth of Creativity. An InterdisciplinaryPerspective on Psychopathological Expression and its Digitalization",Università degli Studi di BOLOGNA,260116
2022PMFMSE,"Poor sleep during pregnancy as risk factor for post-partum stress and mentalhealth: A translational, longitudinal and clinical study. Maternal Outcome after THERapy for Sleep (MOTHERS)",Università degli studiGuglielmo Marconi'-Telematica,211364
2022R8P3TZ,An ecological and virtual reality based battery for the automatic assessment ofmemory: VR-Memory Ecological Battery (V-MEB).,Università Telematica E-CAMPUS,238627
2022R9K3AR,Enhancing ESP competence in educational and professional contexts viaAugmented Reality,Università degli studi di BERGAMO,200.61
2022RAESSJ,DEVELOPMENT AND TESTING OF PSYCHO-PROMOTION INDICATORS FOR A SUCCESSFUL AGING IN OLD-ADULTS,Università degli studi di BERGAMO,239.36
2022RAR7EY,"SyllaRus - A teaching syllabus for the Russian language: reception, testing andextension",Università degli studi di VERONA,196248
2022REJEB4,SENSing Inner BodiLy state: understanding the role of interoception in obEsity(SENSIBLE),Università degli studi di TRENTO,237278
2022RTK44N,Virtual Immersive Training in Aging (VITA): A Dual Cognitive/Motor Training inVirtual Immersive Reality for Successful Aging.,Università degli studi di Napoli Federico II,247066
2022RYY2A7,Digital learning: socio-cognitive and emotional-motivational factors involved instudying supported by digital materials,Università degli Studi di BARI ALDO MORO,325.76300000000003
2022RSTTAZ,"Non-finite verbal forms in ancient Indo-European languages: diachronic,synchronic and cross-linguistic perspectives",Università per Stranieri di SIENA,290336
2022S9ZMAY,PARALLEL SEMANTIC READING OF MULTIPLE WORDS DURING THE LIFE-SPAN,Università degli studi di MILANO-BICOCCA,212478
2022SJPY9E,Perceived Fatigability during Physical Tasks: Neurophysiological Correlates andPractical Interventions (PERCEPT),Università degli Studi G.d'Annunzio CHIETI-PESCARA,212782
2022T42HSZ,Placebo and nocebo effects as Bayesian brain phenomena: the overlooked role oflikelihood and attention,Università Cattolica delSacro Cuore,212419
2022T43ACR,Cooperation nudges for sustainable development: leveraging behavioural insights to encourage cooperative behaviour in environmental social dilemmas (cooPDEV),Università Cattolica delSacro Cuore,275.08
2022TA92HS,Longitudinal assessment of multidomain reading-FREE neurocognitive markers forearly detection of Developmental Dyslexia (FREE-DD),Università degli studi di MILANO-BICOCCA,212.5
2022TE3XMT,The World in Words: Moving beyond a spatiocentric view of the human mind(acronym: WoWo),Università degli Studi di PAVIA,208.77
2022TFXFWR,ME in aCTION: toward a multidimensional neurocognitive model of bodily self-awareness (MEcTION),Università degli studi di MILANO-BICOCCA,186.0
2022THXT58,Computational and linguistic benchmarks for the study of verb argumentstructure,Università di  PISA,186358
2022TN4ETY,"BISSCo, Behavioral Immune System and Social Conformity",Università degli StudiMagna Graeciadi CATANZARO,260.91700000000003
2022TYNY32,"Proof and understanding in mathematics (PUMa).Purity of methods, simplity, and explanation in mathematical reasoning.",Scuola Normale Superioredi PISA,238791
2022TYX52H,At the origins of sound symbolism. A comparative investigation.,Università degli studi di PADOVA,212.21
2022WHZJ98,The lexicalization of the adjective class in Indo-European and Semitic,Università degli studiGuglielmo Marconi -Telematica,339298
2022WPY4L3,The function of the left and right Temporal Parietal Junction: a low-dimensionaloverarching account (Low-DimOverarchTPJ),Università degli studi di ROMA La Sapienza,261227
2022WX3FM5,"Searching for sensitivity to stimulus statistics: Evolutionary mechanisms, development and critical periods underlying efficient neural coding",Università degli Studi di TRENTO,300589
2022XMRNF9,InALC - Investigating African Languages and Cultures,Università degli studi di TRIESTE,236.54
2022YACK2L,"Rethinking, Understanding Modal particles (RUM)",Università Ca' FoscariVENEZIA,270602
2022YAPFNJ,Linked WordNets for Ancient Indo-European languages,Università degli studi di PAVIA,205.0
2022YJA4TB,ASsO (Abstract conceptS and Social InteractiOn),Università degli studi di ROMA La Sapienza,241.59
2022YKJ8FP,"ReMind: an ecological, cost-effective AI platform for early detection of prodromalstages of cognitive impairment",Università degli studi di BOLOGNA,280834
2022YLTSWF,Targeting attentional biases in depression: A longitudinal multimodalneuroimaging investigation,Università degli Studi ROMATRE,220083
2022YMARNM,"Repertory of courts. Language, languages and cultural textuality ReCoLLeCT",Università degli studi di Urbino Carlo Bo,256312
2022YWWCP7,ARDIPSArchivio Digitale delltaliano Parlato-scritto (1860-1953)Digital Archive of Spoken-Written Italian (1860-1953),Università degli studi di CATANIA,303764
2022YXBJWX,Higher-order Perceivable Properties (HOPP),Università degli studi di TORINO,235.75
2022YYL4RE,"Intersectional Stigma and Health Equity Promotion for LGBT People in Primary,Sexual/Reproductive, and Mental Health Care Settings",Università degli studi di PAVIA,237.22
2022Z4BB82,Routine outcome monitoring and therapist feedback: an application to thepsychology bonus context in Italy,Università degli studi di BERGAMO,262.24
2022ZLLR3T,CORTEX The COst of Reasoning: Theory and EXperiments,Università degli studi di MILANO,312122
2022CR8E8W,Dialogic interaction in diachrony: a pragmatic history of the Italian language -DIADIta,Università degli studi delPIEMONTE ORIENTALEAmedeo Avogadro-Vercelli,271433
2022CZF8KA,ACTIVe communication: Assessment and enhancement of pragmatic and narrativeskil in hEaLthY aging (ACTIVELY),Università degli studi di TORINO,261762
2022CS3XR3,"Bittersweet, Ancient and Modern: Mixed Affect in Emotional Experience from Plato to Brain Imaging.",Università degli studi di BOLOGNA,231642
2022KKBW99S,Tails or types? Testing the dimensional hypothesis in neurodevelopmentaldisorders,Università degli studi di PADOVA,247.80599382716048
2022S8PEY7,"Long-term impact of complementary feeding approach in preschool children:developmental outcomes, eating behaviour and food sustainability",Università degli Studi di ROMA La Sapienza,276503
2022SM4XC8,DeKLA: Developing Kleene Logics and their Applications,Università degli Studi di CAGLIARI,295926
2022SYAW7A,Normative Kinds: Values and Classificatory Decisions in Science and Policy-making,Università degli studi di MILANO,310633
2022SP5K9,Motor resonance during action planning and social interactions: from singleneurons to brain circuits,Università degli studi di PARMA,247.80599382716048
2022X37WMB,Prediction of psychopathological outcome and parental rflective functioningbased on perinatal risk factors: a machine learning quanti-qualitative longitudinal study onmothers and fathers,Università degli studi di PALERMO,255107
2022XKZBFC,The influence of emotions on action control: brain network plasticity and potentialtrans-diagnostic applications,Università degli studi di BOLOGNA,212.5
2022Z38HCB,DigiWell: Digital Technologies for promoting wellbeing in university students,Università degli studi di BOLOGNA,239241
2022Z7425F,Learning to use words: the statistical nuances of category bootstrapping,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE,233515
2022ZCE5RA,European and extra-European metalanguage and grammars: syntactic theoriestowards the concept of language in the history of ideas,Università degli Studi di VERONA,223203
202223C3X9,"The Angevin World, the Papacy and the East: 1250-1450",Università degli Studi di NAPOLI L'Orientale,254591
202223C8Z4,The Germanic Reception of Lanfrancs of Milan Chirurgia magna: Critical Editionand Terminological Commentary of the English and German Branches of the Tradition,Università degli studi di GENOVA,296.59000000000003
202224MEMK,De rerum figura. Things inside Images in pre-Roman Italy DRF,Università degli studi di PAVIA,243917
20222NFMAH,Folklore and oral traditions in the Greek culture. From the Archaic to theHellenistic period.,Università degli studi di NAPOLL'Orientale,200116
20222RJE32,"SCORPiò-NIDI. Comparative Analysis and Certified Reconstructions for a correctexperimental archeology: Roman Scorpions and Ballistae for the Imperial mechanical culture,origin of European identity. Governance policy for the development and sustainable fruition ofCultural Heritage.",Università degli studi della Campania Luigi Vanvitelli,239639
20222ZRMFZ,"Islamic Literatures in Sub-Saharan Africa: Themes, Genres and Publics",Università degli studi di NAPOLIL'Orientale,187176
202232Y8YA,DT^2 - The Recovery Demand and the Educational Supply: A Design Toolkit forDesign Teaching,Università degli studi di Napoli Federico II,173287
20223H7759,Literary translation and cultural transfer between Italy and Romania: creation ofa bilingual digital archive of literary translations from Italian into Romanian and from Romanianinto Italian,Università degli Studi di PADOVA,201697
20223HNTT8,LeGeRe LEI Germanismi Reloaded,Università degli studi di NAPOLI L'Orientale,226443
20223LE4AB,"Towards a technical history of early modern Italian wooden sculpture: a digital database of diagnostic and historical investigations (significant case examples from Florence,Lazio, Naples and Southern Italy).",Università degli studi di ROMA Tor Vergata,200601
20223NMEP4,Building Civic Identities. Towards an Atlas of Communal Palaces in Italian UrbanHistory (12th-20th Centuries),Università degli studi di GENOVA,280995
20223NMRBC,"Italian Instrumental Music 1750-1850: Contexts, Practices, Imaginaries",Università degli Studi ROMATRE,257644
202242MS2F,Re-Visualizing the West: geo-literary images of Europe in contemporarySinophone writings,Università degli studi di MILANO,168.85000000000002
20224BPEXZ,"Next Generation Ita. Increasing Trust, Making Future Generations Possible",Università degli studi di TORINO,278.71500000000003
20224K2JA8,HYPERsTAGE: an Open Knowledge base for the semantic reconstruction of theatrical performances through the harvesting and processing resources from the New ItalianNetwork of theatrical digital archives.,Università degli studi di ROMA Tor Vergata,259346
20224KFTLP,Hegelian constelltions of the feminine: a hyper-archive for an inclusive Bildung.,Università degli Studi ROMATRE,223784
20224MFWHC,Habits in (Time of) Crisis (HiToC). Conceptual Tools for Dealing with DisruptiveEvents,Università degli Studi ROMATRE,268203
20224WA39R,TeLPhTeaching and Learning Philosophy in the Regnum Italiae (1250-1450): from Exception toEuropean Heritage,Università degli studi di ROMA Tor Vergata,230.15
2022582NRJ,A Model of Digital Commentary for Twentieth-Century Literature. The Case ofCarlo Emilio Gaddas LAdalgisa. Disegni milanesi,Università per Stranieri di SIENA,237795
2022594MAA,Applied Shakespeare: Developing New Educational Models for TransversalCompetences and Life-skills,Università degli Studi ROMATRE,255892
20225E9XZM,"A Question of Honor: Duels in Italian Culture from the Risorgimento to the FascistPeriod, between Imaginary, Representation, and Reality",Università degli Studi di FIRENZE,235.93
20225KT494,The Primo Levi Thesaurus: The Genesis and Dissemination of a Twentieth-CenturyCorpus,Università degli studi di PAVIA,270.55400000000003
20225LFCMZ,"Itineraries of Philosophy and Science from Baghdad to Florence: Albert the Great,his Sources and his Legacies",Scuola IMT Alti Studi -LUCCA,291595
20225REWBB,"PLanETsProduction Landscapes through Energy Transitions: Industrial heritage preservation, socio-political processes and potential reuse in Lombardy, Sardinia, and Calabria",Università degli studi di CAGLIARI,234184
202273E9F4,EByRome. Epigraphy of Byzantine Rome: medieval Greek inscriptions from/inRome and Latium (6th-15th cent. AD),Università degli studi di ROMA Tor Vergata,274735
202279SXRM,PatriarX: PAths of the TRansmlssion of SAint CyRils LeXicon,Università degli studi di MESSINA,240858
20227AF8Y3,"Narration and care.The deinstitutionalization of asylum system in Italy: history, cultural imaginary, planning (from1961 to today)",Università degli studi di CAGLIARI,295543
20227CHRR2,MEDITA - Medieval Latin documentation and Digital Italo-Romance Lexicography. Integrated Resources for the New Historical and Etymological Lexicography,Università degli studi di Napoli Federico II,213.92200000000005
20227KSKN5,A Physical Geography of German-speaking Literature,Università degli Studi di ROMA La Sapienza,262322
20227M8RS7,The ATLAS of talian Digital Humanities: a dynamic knowledge graph of digitalscholarly research on Italian Cultural Heritage,Università degli studi di BOLOGNA,212764
202283FJF7,"Texts of Uncertain Authorship in Thirteenth-century Italian Lyric Poetry. Methods,Practices and Tools of Attributive Philology.",Università degli studi di ROMA Tor Vergata,265.19500000000005
