progetto,istituzione,finanziamento,sito web
Crafted in Stone / Recorded on Paper: Promoting the Architectural and Archival Heritage of the Small Italian Municipalities (13th-20th Centuries). Historical Research and Digital Enhancement,Politecnico di Milano,230641,https://manifest-project-cis.netlify.app
ARTCHAE: Rediscovering video and installation art as an archaeology of telepresence ,Università Statale di Milano,229568,https://zenodo.org/records/18744397
"BiPEC - The digital catalogue of Spanish epic chivalric poems of the 16th and 17th centuries: texts, paratexts and socio-literary networks (an interdisciplinary approach)",Università di Catania,214182,https://www.disum.unict.it/it/content/bipec-digital-catalogue-spanish-epic-chivalric-poems-16th-and-17th-centuries-texts-paratexts
"GOLA. Representation of gastronomic culture, nutrition and food in the Italian media system. Stardom, material culture, taste (1954-1990)",Università di Genova,229080,https://www.unisg.it/ricerca/gola-representation-of-gastronomic-culture-nutrition-and-food-in-the-italian-media-system-stardom-material-culture-taste-1954-1990/
"PER IMAGINES, PER SCRIPTA. Forms of interaction between texts and images in Latin culture and its reception: innovative methodologies, new interpretations, digitisation initiatives. ",Università di Padova,230912,https://www.itinerarinellarte.it/it/mostre/per-imagines-classici-latini-e-libri-d-artista-da-durer-a-picasso-13481
For an Atlas of Italian Ecological Literature: From the Great Acceleration to the Pandemic (LEDA),IULM Milano,230809,https://ledaprin2022pnrr.altervista.org
CHIN-DICTIONARY (oggetto di studio “è il Dictionarium sinico-latinum (dizionario cinese-latino),Università La Sapienza di Roma,230626,https://research.uniroma1.it/chin-dictionary-brollos-dictionarium-sinico-latinum-linguistic-innovations-textual-connections-and
ROSMINI ,Università Ca' Foscari Venezia,230999,https://rosminiproject.lettere.unitn.it
ASE - Art Sound Environment: Towards a New Ecology of Landscape,Università di Bologna,223186,https://ase.uniroma3.it
"Archaeological investigation of Soil Heritage: the case of Andosols. An integrated and open IT approach to investigate a crucial agricultural resource in Central-Southern Italy (Latium, Campania, Calabria and Sicily) through archaeology, pedology, archaeobotany and remote sensing",Università Federico II di Napoli,239730,https://www.ispc.cnr.it/en/2024/01/12/ash/
A Database on the Slave Trade between the Mediterranean and the Atlantic (15th-16th Centuries),Università di Teramo,230269,https://www.disum.unict.it/it/content/database-slave-trade-between-mediterranean-and-atlantic-15th-16th-centuries
From South Risk: from data collection to monitoring intervention. A southern history,Università di Bari,225000,https://south-risk.inaf.it
NETEX - NETworks and EXchanges within the Congregations of the Roman Curia: a digital analysis of the Early Modern Church archives,Università di Teramo,224629,https://www.unisob.na.it/universita/facolta/formazione/ricerca/a004_a.htm?vr=1&id=4
"P2022CEY9C - 224.973 euro - PI: G. Scardozzi (Ispc-Cnr), G. Ceraudo (UniSal) - ArchMAPP - Archaeological Mapping for Preventive Archaeology and Planning Policies. A study on ancient cities with continuity of living and territories aimed at promoting the integration between conservation and sustainable development of urban and rural landscapes",ISPC-CNR – Napoli,224973,https://www.ispc.cnr.it/it_it/2024/01/18/archmapp/
"IMPERI SITUS. Imperial and Monarchical Power - Evolution of Regal Ideology in Southern Italy: Theories, Uses, Strategies",Università della Basilicata – Potenza,225000,https://imperisitus.unibas.it
"OPERA. Oenotrians and Peucetians: Extensive Research Activities. Archaeology, cultures, relationships (IX - III century BC)",Università della Calabria – Cosenza,225000,https://opera.unical.it
